matchup,matchup_short,season,season_type,season_slug,game_id,game_uid,game_date,attendance,status_name,broadcast_market,broadcast_name,tournament_id,start_date,home_team_name,home_team_logo,home_team_abb,home_team_id,home_team_location,home_team_full_name,home_team_color,home_score,home_win,home_record,away_team_name,away_team_logo,away_team_abb,away_team_id,away_team_location,away_team_full_name,away_team_color,away_score,away_win,away_record
Gonzaga Bulldogs at UCLA Bruins,GONZ @ UCLA,2023,3,post-season,401522186,s:40~l:41~e:401522186~c:401522186,2023-03-24T02:04Z,18544,STATUS_FINAL,national,CBS,22,2023-03-24T02:04Z,Bruins,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,UCLA,26,UCLA,UCLA Bruins,2774ae,76,0,31-6,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,GONZ,2250,Gonzaga,Gonzaga Bulldogs,041e42,79,1,31-5
Arkansas Razorbacks at UConn Huskies,ARK @ CONN,2023,3,post-season,401522188,s:40~l:41~e:401522188~c:401522188,2023-03-23T23:15Z,0,STATUS_FINAL,national,CBS,22,2023-03-23T23:15Z,Huskies,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,CONN,41,UConn,UConn Huskies,0c2340,88,1,28-8,Razorbacks,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,ARK,8,Arkansas,Arkansas Razorbacks,a41f35,65,0,22-14
Michigan State Spartans at Kansas State Wildcats,MSU @ KSU,2023,3,post-season,401522191,s:40~l:41~e:401522191~c:401522191,2023-03-23T22:30Z,0,STATUS_FINAL,national,TBS,22,2023-03-23T22:30Z,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,KSU,2306,Kansas State,Kansas State Wildcats,633194,98,1,26-9,Spartans,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,MSU,127,Michigan State,Michigan State Spartans,18453B,93,0,21-13
Florida Atlantic Owls at Tennessee Volunteers,FAU @ TENN,2023,3,post-season,401522192,s:40~l:41~e:401522192~c:401522192,2023-03-24T01:36Z,19624,STATUS_FINAL,national,TBS,22,2023-03-24T01:36Z,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,TENN,2633,Tennessee,Tennessee Volunteers,ff8200,55,0,25-11,Owls,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,FAU,2226,Florida Atlantic,Florida Atlantic Owls,004B85,62,1,34-3
San Diego State Aztecs at Alabama Crimson Tide,SDSU @ ALA,2023,3,post-season,401522197,s:40~l:41~e:401522197~c:401522197,2023-03-24T22:30Z,0,STATUS_FINAL,national,TBS,22,2023-03-24T22:30Z,Crimson Tide,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,ALA,333,Alabama,Alabama Crimson Tide,9e1632,64,0,31-6,Aztecs,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,SDSU,21,San Diego State,San Diego State Aztecs,BF2C37,71,1,30-6
Miami Hurricanes at Houston Cougars,MIA @ HOU,2023,3,post-season,401522195,s:40~l:41~e:401522195~c:401522195,2023-03-24T23:15Z,0,STATUS_FINAL,national,CBS,22,2023-03-24T23:15Z,Cougars,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,HOU,248,Houston,Houston Cougars,c92a39,75,0,33-4,Hurricanes,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,MIA,2390,Miami,Miami Hurricanes,004325,89,1,28-7
Xavier Musketeers at Texas Longhorns,XAV @ TEX,2023,3,post-season,401522194,s:40~l:41~e:401522194~c:401522194,2023-03-25T01:59Z,17429,STATUS_FINAL,national,CBS,22,2023-03-25T01:59Z,Longhorns,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,TEX,251,Texas,Texas Longhorns,c15d26,83,1,29-8,Musketeers,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,XAV,2752,Xavier,Xavier Musketeers,002144,71,0,27-10
Princeton Tigers at Creighton Bluejays,PRIN @ CREI,2023,3,post-season,401522198,s:40~l:41~e:401522198~c:401522198,2023-03-25T01:27Z,20289,STATUS_FINAL,national,TBS,22,2023-03-25T01:27Z,Bluejays,https://a.espncdn.com/i/teamlogos/ncaa/500/156.png,CREI,156,Creighton,Creighton Bluejays,13299e,86,1,24-12,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/163.png,PRIN,163,Princeton,Princeton Tigers,ff9408,75,0,23-9
UConn Huskies at Gonzaga Bulldogs,CONN @ GONZ,2023,3,post-season,401522190,s:40~l:41~e:401522190~c:401522190,2023-03-26T00:59Z,18119,STATUS_FINAL,national,TBS,22,2023-03-26T00:59Z,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,GONZ,2250,Gonzaga,Gonzaga Bulldogs,041e42,54,0,31-6,Huskies,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,CONN,41,UConn,UConn Huskies,0c2340,82,1,29-8
Florida Atlantic Owls at Kansas State Wildcats,FAU @ KSU,2023,3,post-season,401522193,s:40~l:41~e:401522193~c:401522193,2023-03-25T22:09Z,19680,STATUS_FINAL,national,TBS,22,2023-03-25T22:09Z,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,KSU,2306,Kansas State,Kansas State Wildcats,633194,76,0,26-10,Owls,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,FAU,2226,Florida Atlantic,Florida Atlantic Owls,004B85,79,1,35-3
Miami Hurricanes at Texas Longhorns,MIA @ TEX,2023,3,post-season,401522196,s:40~l:41~e:401522196~c:401522196,2023-03-26T21:10Z,17530,STATUS_FINAL,national,CBS,22,2023-03-26T21:10Z,Longhorns,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,TEX,251,Texas,Texas Longhorns,c15d26,81,0,29-9,Hurricanes,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,MIA,2390,Miami,Miami Hurricanes,004325,88,1,29-7
Creighton Bluejays at San Diego State Aztecs,CREI @ SDSU,2023,3,post-season,401522199,s:40~l:41~e:401522199~c:401522199,2023-03-26T18:20Z,20051,STATUS_FINAL,national,CBS,22,2023-03-26T18:20Z,Aztecs,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,SDSU,21,San Diego State,San Diego State Aztecs,BF2C37,57,1,31-6,Bluejays,https://a.espncdn.com/i/teamlogos/ncaa/500/156.png,CREI,156,Creighton,Creighton Bluejays,13299e,56,0,24-13
Miami Hurricanes at UConn Huskies,MIA @ CONN,2023,3,post-season,401522201,s:40~l:41~e:401522201~c:401522201,2023-04-02T01:16Z,73860,STATUS_FINAL,national,CBS,22,2023-04-02T01:16Z,Huskies,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,CONN,41,UConn,UConn Huskies,0c2340,72,1,30-8,Hurricanes,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,MIA,2390,Miami,Miami Hurricanes,004325,59,0,29-8
Florida Atlantic Owls at San Diego State Aztecs,FAU @ SDSU,2023,3,post-season,401522200,s:40~l:41~e:401522200~c:401522200,2023-04-01T22:09Z,73860,STATUS_FINAL,national,CBS,22,2023-04-01T22:09Z,Aztecs,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,SDSU,21,San Diego State,San Diego State Aztecs,BF2C37,72,1,32-6,Owls,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,FAU,2226,Florida Atlantic,Florida Atlantic Owls,004B85,71,0,35-4
San Diego State Aztecs at UConn Huskies,SDSU @ CONN,2023,3,post-season,401522202,s:40~l:41~e:401522202~c:401522202,2023-04-04T01:20Z,72423,STATUS_FINAL,national,CBS,22,2023-04-04T01:20Z,Huskies,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,CONN,41,UConn,UConn Huskies,0c2340,76,1,31-8,Aztecs,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,SDSU,21,San Diego State,San Diego State Aztecs,BF2C37,59,0,32-7
