matchup,matchup_short,season,season_type,season_slug,game_id,game_uid,game_date,attendance,status_name,broadcast_market,broadcast_name,tournament_id,start_date,home_team_name,home_team_logo,home_team_abb,home_team_id,home_team_location,home_team_full_name,home_team_color,home_score,home_win,home_record,away_team_name,away_team_logo,away_team_abb,away_team_id,away_team_location,away_team_full_name,away_team_color,away_score,away_win,away_record
Princeton Tigers at Arizona Wildcats,PRIN @ ARIZ,2023,3,post-season,401522134,s:40~l:41~e:401522134~c:401522134,2023-03-16T20:10Z,14896,STATUS_FINAL,national,TNT,22,2023-03-16T20:10Z,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,ARIZ,12,Arizona,Arizona Wildcats,0c234b,55,0,28-7,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/163.png,PRIN,163,Princeton,Princeton Tigers,ff9408,59,1,22-8
Oral Roberts Golden Eagles at Duke Blue Devils,ORU @ DUKE,2023,3,post-season,401522128,s:40~l:41~e:401522128~c:401522128,2023-03-16T23:10Z,0,STATUS_FINAL,national,CBS,22,2023-03-16T23:10Z,Blue Devils,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,DUKE,150,Duke,Duke Blue Devils,013088,74,1,27-8,Golden Eagles,https://a.espncdn.com/i/teamlogos/ncaa/500/198.png,ORU,198,Oral Roberts,Oral Roberts Golden Eagles,002462,51,0,30-5
Furman Paladins at Virginia Cavaliers,FUR @ UVA,2023,3,post-season,401522130,s:40~l:41~e:401522130~c:401522130,2023-03-16T16:40Z,0,STATUS_FINAL,national,truTV,22,2023-03-16T16:40Z,Cavaliers,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,UVA,258,Virginia,Virginia Cavaliers,f84c1e,67,0,25-8,Paladins,https://a.espncdn.com/i/teamlogos/ncaa/500/231.png,FUR,231,Furman,Furman Paladins,582c83,68,1,28-7
Penn State Nittany Lions at Texas A&M Aggies,PSU @ TA&M,2023,3,post-season,401522127,s:40~l:41~e:401522127~c:401522127,2023-03-17T02:15Z,16728,STATUS_FINAL,national,TBS,22,2023-03-17T02:15Z,Aggies,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,TA&M,245,Texas A&M,Texas A&M Aggies,5C0025,59,0,25-10,Nittany Lions,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,PSU,213,Penn State,Penn State Nittany Lions,00265D,76,1,23-13
Charleston Cougars at San Diego State Aztecs,COFC @ SDSU,2023,3,post-season,401522131,s:40~l:41~e:401522131~c:401522131,2023-03-16T19:25Z,15650,STATUS_FINAL,national,truTV,22,2023-03-16T19:25Z,Aztecs,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,SDSU,21,San Diego State,San Diego State Aztecs,BF2C37,63,1,28-6,Cougars,https://a.espncdn.com/i/teamlogos/ncaa/500/232.png,COFC,232,Charleston,Charleston Cougars,9c8456,57,0,31-4
Louisiana Ragin' Cajuns at Tennessee Volunteers,UL @ TENN,2023,3,post-season,401522129,s:40~l:41~e:401522129~c:401522129,2023-03-17T01:40Z,18018,STATUS_FINAL,national,CBS,22,2023-03-17T01:40Z,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,TENN,2633,Tennessee,Tennessee Volunteers,ff8200,58,1,24-10,Ragin' Cajuns,https://a.espncdn.com/i/teamlogos/ncaa/500/309.png,UL,309,Louisiana,Louisiana Ragin' Cajuns,ce2842,55,0,26-8
Utah State Aggies at Missouri Tigers,USU @ MIZ,2023,3,post-season,401522135,s:40~l:41~e:401522135~c:401522135,2023-03-16T17:40Z,0,STATUS_FINAL,national,TNT,22,2023-03-16T17:40Z,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,MIZ,142,Missouri,Missouri Tigers,f1b82d,76,1,25-9,Aggies,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png,USU,328,Utah State,Utah State Aggies,00263a,65,0,26-9
West Virginia Mountaineers at Maryland Terrapins,WVU @ MD,2023,3,post-season,401522122,s:40~l:41~e:401522122~c:401522122,2023-03-16T16:15Z,0,STATUS_FINAL,national,CBS,22,2023-03-16T16:15Z,Terrapins,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,MD,120,Maryland,Maryland Terrapins,D5002B,67,1,22-12,Mountaineers,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,WVU,277,West Virginia,West Virginia Mountaineers,FFC600,65,0,19-15
Illinois Fighting Illini at Arkansas Razorbacks,ILL @ ARK,2023,3,post-season,401522126,s:40~l:41~e:401522126~c:401522126,2023-03-16T20:34Z,16745,STATUS_FINAL,national,TBS,22,2023-03-16T20:34Z,Razorbacks,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,ARK,8,Arkansas,Arkansas Razorbacks,a41f35,73,1,21-13,Fighting Illini,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,ILL,356,Illinois,Illinois Fighting Illini,ff5f05,63,0,20-13
Auburn Tigers at Iowa Hawkeyes,AUB @ IOWA,2023,3,post-season,401522120,s:40~l:41~e:401522120~c:401522120,2023-03-16T22:50Z,0,STATUS_FINAL,national,TNT,22,2023-03-16T22:50Z,Hawkeyes,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,IOWA,2294,Iowa,Iowa Hawkeyes,000000,75,0,19-14,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,AUB,2,Auburn,Auburn Tigers,03244d,83,1,21-12
Boise State Broncos at Northwestern Wildcats,BOIS @ NU,2023,3,post-season,401522133,s:40~l:41~e:401522133~c:401522133,2023-03-16T23:35Z,0,STATUS_FINAL,national,truTV,22,2023-03-16T23:35Z,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,NU,77,Northwestern,Northwestern Wildcats,582c83,75,1,22-11,Broncos,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,BOIS,68,Boise State,Boise State Broncos,0033a0,67,0,24-10
Fairleigh Dickinson Knights at Purdue Boilermakers,FDU @ PUR,2023,3,post-season,401522145,s:40~l:41~e:401522145~c:401522145,2023-03-17T22:50Z,0,STATUS_FINAL,national,TNT,22,2023-03-17T22:50Z,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,PUR,2509,Purdue,Purdue Boilermakers,000000,58,0,29-6,Knights,https://a.espncdn.com/i/teamlogos/ncaa/500/161.png,FDU,161,Fairleigh Dickinson,Fairleigh Dickinson Knights,28334a,63,1,21-15
Vermont Catamounts at Marquette Golden Eagles,UVM @ MARQ,2023,3,post-season,401522141,s:40~l:41~e:401522141~c:401522141,2023-03-17T18:51Z,19564,STATUS_FINAL,national,CBS,22,2023-03-17T18:51Z,Golden Eagles,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png,MARQ,269,Marquette,Marquette Golden Eagles,083963,78,1,29-6,Catamounts,https://a.espncdn.com/i/teamlogos/ncaa/500/261.png,UVM,261,Vermont,Vermont Catamounts,154734,61,0,23-11
Grand Canyon Lopes at Gonzaga Bulldogs,GCU @ GONZ,2023,3,post-season,401522148,s:40~l:41~e:401522148~c:401522148,2023-03-17T23:35Z,0,STATUS_FINAL,national,truTV,22,2023-03-17T23:35Z,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,GONZ,2250,Gonzaga,Gonzaga Bulldogs,041e42,82,1,29-5,Lopes,https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png,GCU,2253,Grand Canyon,Grand Canyon Lopes,522398,70,0,24-12
Iona Gaels at UConn Huskies,IONA @ CONN,2023,3,post-season,401522136,s:40~l:41~e:401522136~c:401522136,2023-03-17T20:45Z,14010,STATUS_FINAL,national,TBS,22,2023-03-17T20:45Z,Huskies,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,CONN,41,UConn,UConn Huskies,0c2340,87,1,26-8,Gaels,https://a.espncdn.com/i/teamlogos/ncaa/500/314.png,IONA,314,Iona,Iona Gaels,6f2c3e,63,0,27-8
UC Santa Barbara Gauchos at Baylor Bears,UCSB @ BAY,2023,3,post-season,401522151,s:40~l:41~e:401522151~c:401522151,2023-03-17T17:30Z,0,STATUS_FINAL,national,TNT,22,2023-03-17T17:30Z,Bears,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,BAY,239,Baylor,Baylor Bears,154734,74,1,23-10,Gauchos,https://a.espncdn.com/i/teamlogos/ncaa/500/2540.png,UCSB,2540,UC Santa Barbara,UC Santa Barbara Gauchos,1D1160,56,0,27-8
Kennesaw State Owls at Xavier Musketeers,KENN @ XAV,2023,3,post-season,401522156,s:40~l:41~e:401522156~c:401522156,2023-03-17T16:40Z,0,STATUS_FINAL,national,truTV,22,2023-03-17T16:40Z,Musketeers,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,XAV,2752,Xavier,Xavier Musketeers,002144,72,1,26-9,Owls,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png,KENN,338,Kennesaw State,Kennesaw State Owls,000000,67,0,26-9
Montana State Bobcats at Kansas State Wildcats,MTST @ KSU,2023,3,post-season,401522153,s:40~l:41~e:401522153~c:401522153,2023-03-18T01:55Z,17150,STATUS_FINAL,national,CBS,22,2023-03-18T01:55Z,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,KSU,2306,Kansas State,Kansas State Wildcats,633194,77,1,24-9,Bobcats,https://a.espncdn.com/i/teamlogos/ncaa/500/147.png,MTST,147,Montana State,Montana State Bobcats,00205c,65,0,25-10
Drake Bulldogs at Miami Hurricanes,DRKE @ MIA,2023,3,post-season,401522139,s:40~l:41~e:401522139~c:401522139,2023-03-17T23:55Z,0,STATUS_FINAL,national,TBS,22,2023-03-17T23:55Z,Hurricanes,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,MIA,2390,Miami,Miami Hurricanes,004325,63,1,26-7,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2181.png,DRKE,2181,Drake,Drake Bulldogs,004477,56,0,27-8
VCU Rams at Saint Mary's Gaels,VCU @ SMC,2023,3,post-season,401522137,s:40~l:41~e:401522137~c:401522137,2023-03-17T18:00Z,0,STATUS_FINAL,national,TBS,22,2023-03-17T18:00Z,Gaels,https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png,SMC,2608,Saint Mary's,Saint Mary's Gaels,d80024,63,1,27-7,Rams,https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png,VCU,2670,VCU,VCU Rams,929292,51,0,27-8
Kent State Golden Flashes at Indiana Hoosiers,KENT @ IU,2023,3,post-season,401522138,s:40~l:41~e:401522138~c:401522138,2023-03-18T02:35Z,13989,STATUS_FINAL,national,TBS,22,2023-03-18T02:35Z,Hoosiers,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,IU,84,Indiana,Indiana Hoosiers,990000,71,1,23-11,Golden Flashes,https://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,KENT,2309,Kent State,Kent State Golden Flashes,002445,60,0,28-7
Arizona State Sun Devils at TCU Horned Frogs,ASU @ TCU,2023,3,post-season,401522149,s:40~l:41~e:401522149~c:401522149,2023-03-18T02:05Z,19152,STATUS_FINAL,national,truTV,22,2023-03-18T02:05Z,Horned Frogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,TCU,2628,TCU,TCU Horned Frogs,4d1979,72,1,22-12,Sun Devils,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,ASU,9,Arizona State,Arizona State Sun Devils,942139,70,0,23-13
Florida Atlantic Owls at Memphis Tigers,FAU @ MEM,2023,3,post-season,401522144,s:40~l:41~e:401522144~c:401522144,2023-03-18T01:44Z,19564,STATUS_FINAL,national,TNT,22,2023-03-18T01:44Z,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,MEM,235,Memphis,Memphis Tigers,004991,65,0,26-9,Owls,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,FAU,2226,Florida Atlantic,Florida Atlantic Owls,004B85,66,1,32-3
USC Trojans at Michigan State Spartans,USC @ MSU,2023,3,post-season,401522142,s:40~l:41~e:401522142~c:401522142,2023-03-17T16:15Z,0,STATUS_FINAL,national,CBS,22,2023-03-17T16:15Z,Spartans,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,MSU,127,Michigan State,Michigan State Spartans,18453B,72,1,20-12,Trojans,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,USC,30,USC,USC Trojans,9e2237,62,0,22-11
Pittsburgh Panthers at Iowa State Cyclones,PITT @ ISU,2023,3,post-season,401522157,s:40~l:41~e:401522157~c:401522157,2023-03-17T19:30Z,16150,STATUS_FINAL,national,truTV,22,2023-03-17T19:30Z,Cyclones,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,ISU,66,Iowa State,Iowa State Cyclones,822433,41,0,19-14,Panthers,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,PITT,221,Pittsburgh,Pittsburgh Panthers,003263,59,1,24-11
NC State Wolfpack at Creighton Bluejays,NCST @ CREI,2023,3,post-season,401522152,s:40~l:41~e:401522152~c:401522152,2023-03-17T19:56Z,19149,STATUS_FINAL,national,TNT,22,2023-03-17T19:56Z,Bluejays,https://a.espncdn.com/i/teamlogos/ncaa/500/156.png,CREI,156,Creighton,Creighton Bluejays,13299e,72,1,22-12,Wolfpack,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,NCST,152,NC State,NC State Wolfpack,EF1216,63,0,23-11
Providence Friars at Kentucky Wildcats,PROV @ UK,2023,3,post-season,401522154,s:40~l:41~e:401522154~c:401522154,2023-03-17T23:10Z,0,STATUS_FINAL,national,CBS,22,2023-03-17T23:10Z,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,UK,96,Kentucky,Kentucky Wildcats,005DAA,61,1,22-11,Friars,https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png,PROV,2507,Providence,Providence Friars,000000,53,0,21-12
Maryland Terrapins at Alabama Crimson Tide,MD @ ALA,2023,3,post-season,401522159,s:40~l:41~e:401522159~c:401522159,2023-03-19T02:02Z,15198,STATUS_FINAL,national,TBS,22,2023-03-19T02:02Z,Crimson Tide,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,ALA,333,Alabama,Alabama Crimson Tide,9e1632,73,1,31-5,Terrapins,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,MD,120,Maryland,Maryland Terrapins,D5002B,51,0,22-13
Auburn Tigers at Houston Cougars,AUB @ HOU,2023,3,post-season,401522161,s:40~l:41~e:401522161~c:401522161,2023-03-18T23:10Z,0,STATUS_FINAL,national,TBS,22,2023-03-18T23:10Z,Cougars,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,HOU,248,Houston,Houston Cougars,c92a39,81,1,33-3,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,AUB,2,Auburn,Auburn Tigers,03244d,64,0,21-13
Arkansas Razorbacks at Kansas Jayhawks,ARK @ KU,2023,3,post-season,401522162,s:40~l:41~e:401522162~c:401522162,2023-03-18T21:25Z,0,STATUS_FINAL,national,CBS,22,2023-03-18T21:25Z,Jayhawks,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,KU,2305,Kansas,Kansas Jayhawks,0051ba,71,0,28-8,Razorbacks,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,ARK,8,Arkansas,Arkansas Razorbacks,a41f35,72,1,22-13
Penn State Nittany Lions at Texas Longhorns,PSU @ TEX,2023,3,post-season,401522165,s:40~l:41~e:401522165~c:401522165,2023-03-19T00:17Z,16796,STATUS_FINAL,national,CBS,22,2023-03-19T00:17Z,Longhorns,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,TEX,251,Texas,Texas Longhorns,c15d26,71,1,28-8,Nittany Lions,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,PSU,213,Penn State,Penn State Nittany Lions,00265D,66,0,23-14
Northwestern Wildcats at UCLA Bruins,NU @ UCLA,2023,3,post-season,401522169,s:40~l:41~e:401522169~c:401522169,2023-03-19T00:50Z,16806,STATUS_FINAL,national,TNT,22,2023-03-19T00:50Z,Bruins,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,UCLA,26,UCLA,UCLA Bruins,2774ae,68,1,31-5,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,NU,77,Northwestern,Northwestern Wildcats,582c83,63,0,22-12
